variant,scenario,algorithm,distance_km,wait_min,probability_of_delay,reserved_parallel,reservation_starts,price_pence_per_kwh,runtime_ms,reservation_accepted,load_multiplier,lambda_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost,battery_level_percent,battery_capacity_kwh
baseline_equal,urban,dijkstra,0.5241,2.6666666666666665,0.09999999999999999,0,0,55.0,57.96207000094,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.342389002075755,40.0
baseline_equal,urban,range_aware,2.5161,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.6330090002156794,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.342389002075755,40.0
baseline_equal,urban,nearest,1.2355,2.6666666666666665,0.09999999999999999,0,0,55.0,1.2656850012717769,0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.117575660575675,40.0
baseline_equal,urban,cost_optimized,1.5086,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.6418099985457957,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.117575660575675,40.0
baseline_equal,urban,queue_aware,1.5086,0.020629190304280558,0.0018050541516245488,0,0,55.0,2.0451360032893717,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.117575660575675,40.0
baseline_equal,urban,static_queue,1.5086,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.4675979982712306,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.117575660575675,40.0
baseline_equal,urban,dijkstra,1.6487,40.0,0.5,0,0,55.0,46.716019998712,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.117575660575675,40.0
baseline_equal,urban,range_aware,4.793100000000001,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.541703000839334,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.117575660575675,40.0
baseline_equal,urban,nearest,1.2092,0.020629190304280558,0.0018050541516245488,0,0,55.0,0.768851998145692,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.52793623145439,40.0
baseline_equal,urban,cost_optimized,1.2092,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.579604999278672,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.52793623145439,40.0
baseline_equal,urban,queue_aware,1.2092,0.24242424242424243,0.015151515151515152,1,0,55.0,1.8605250006658025,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.52793623145439,40.0
baseline_equal,urban,static_queue,1.2092,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.5167009987635538,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.52793623145439,40.0
baseline_equal,urban,dijkstra,1.2092,0.020629190304280558,0.0018050541516245488,0,0,55.0,44.93720000027679,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.52793623145439,40.0
baseline_equal,urban,range_aware,4.7045,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.626308003324084,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.52793623145439,40.0
baseline_equal,urban,nearest,0.5118,40.0,0.5,0,0,55.0,1.0346689959987998,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,24.171265854213274,40.0
baseline_equal,urban,cost_optimized,0.825,0.00156000156000156,0.0001755001755001755,0,0,55.0,2.1961460006423295,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,24.171265854213274,40.0
