variant,scenario,algorithm,distance_mean,distance_ci_low,distance_ci_high,wait_mean,wait_ci_low,wait_ci_high,pdelay_mean,pdelay_ci_low,pdelay_ci_high,runtime_ms_mean,reservation_accept_rate,fairness_jain,reservation_rejection_rate,load_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost
erlang_sensitivity,mixed,cost_optimized,2.8109874,2.6643295499999997,2.9577658700000002,126005.6326026741,98005.62790093254,156005.5061501817,0.23192185500626475,0.20388240282165665,0.261905283932808,1.7746344720217166,0.812,0.0266178318178914,0.08,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,cost_optimized,2.8109874,2.6643295499999997,2.9577658700000002,126005.6326026741,98005.62790093254,156005.5061501817,0.23192185500626475,0.20388240282165665,0.261905283932808,1.7746344720217166,0.812,0.0375426108633298,0.15,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,cost_optimized,2.8109874,2.6643295499999997,2.9577658700000002,126005.6326026741,98005.62790093254,156005.5061501817,0.23192185500626475,0.20388240282165665,0.261905283932808,1.7746344720217166,0.812,0.0461178033167924,0.3,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,cost_optimized,2.8109874,2.6643295499999997,2.9577658700000002,126005.6326026741,98005.62790093254,156005.5061501817,0.23192185500626475,0.20388240282165665,0.261905283932808,1.7746344720217166,0.812,0.0504764981424648,0.34,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,dijkstra,2.8402634000000004,2.684413535,2.987306055,180020.26909792208,147969.3953443662,214017.57558811601,0.38759397777789956,0.3536978067431466,0.4183947476096689,56.80323808790126,0.646,0.0497185927649503,0.28,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,dijkstra,2.8402634000000004,2.684413535,2.987306055,180020.26909792208,147969.3953443662,214017.57558811601,0.38759397777789956,0.3536978067431466,0.4183947476096689,56.80323808790126,0.646,0.0517384105960264,0.42,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,dijkstra,2.8402634000000004,2.684413535,2.987306055,180020.26909792208,147969.3953443662,214017.57558811601,0.38759397777789956,0.3536978067431466,0.4183947476096689,56.80323808790126,0.646,0.053407391582995,0.37,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,dijkstra,2.8402634000000004,2.684413535,2.987306055,180020.26909792208,147969.3953443662,214017.57558811601,0.38759397777789956,0.3536978067431466,0.4183947476096689,56.80323808790126,0.646,0.0548221569229419,0.3,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,dijkstra,2.8402634000000004,2.684413535,2.987306055,180020.26909792208,147969.3953443662,214017.57558811601,0.38759397777789956,0.3536978067431466,0.4183947476096689,56.80323808790126,0.646,0.0475755499733576,0.4,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,nearest,2.6945968,2.5473813399999994,2.844283115,126016.65266915428,99964.96121597322,156014.36469673557,0.3336443500295539,0.3048867808449012,0.3641077728699396,0.8358062660117866,0.692,0.048983110623457,0.26,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
